1,2,3
1,2,15
1,3,10
1,4,6
1,4,22
1,5,19
1,6,17
1,7,16
1,8,16
1,9,17
1,10,19
1,11,22
1,13,15
1,14,21
1,16,20
1,18,23
1,23,24
2,3,10
2,4,6
2,4,22
2,5,19
2,6,17
2,7,16
2,8,16
2,9,17
2,10,19
2,11,22
2,13,15
2,14,21
2,16,20
2,18,23
2,23,24
3,4,6
3,4,22
3,5,19
3,6,17
3,7,16
3,8,16
3,9,17
3,10,19
3,11,22
3,13,15
3,14,21
3,16,20
3,18,23
3,23,24
4,5,19
4,6,17
4,7,16
4,8,16
4,9,17
4,10,19
4,11,22
4,13,15
4,14,21
4,16,20
4,18,23
4,23,24
5,6,17
5,7,16
5,8,16
5,9,17
5,10,19
5,11,22
5,13,15
5,14,21
5,16,20
5,18,23
5,23,24
6,7,16
6,8,16
6,9,17
6,10,19
6,11,22
6,13,15
6,14,21
6,16,20
6,18,23
6,23,24
7,8,16
7,9,17
7,10,19
7,11,22
7,13,15
7,14,21
7,16,20
7,18,23
7,23,24
8,9,17
8,10,19
8,11,22
8,13,15
8,14,21
8,16,20
8,18,23
8,23,24
9,10,19
9,11,22
9,13,15
9,14,21
9,16,20
9,18,23
9,23,24
10,11,22
10,13,15
10,14,21
10,16,20
10,18,23
10,23,24
11,13,15
11,14,21
11,16,20
11,18,23
11,23,24
12,13,15
12,14,21
12,16,20
12,18,23
12,23,24
13,14,21
13,16,20
13,18,23
13,23,24
14,16,20
14,18,23
14,23,24
15,16,20
15,18,23
15,23,24
16,17,21
16,20,22
17,18,23
17,23,24
18,21,23
19,20,24
22,23,24
